Using device: cuda
Using 1 GPUs
Epoch 1/50 | Batch 780/847 | Loss: 5.5964 | LR: 1.92e-04
Epoch 1/50 | Batch 790/847 | Loss: 5.5639 | LR: 1.95e-04
Epoch 1/50 | Batch 800/847 | Loss: 5.5316 | LR: 1.97e-04
Epoch 1/50 | Batch 810/847 | Loss: 5.4993 | LR: 1.99e-04
Epoch 1/50 | Batch 820/847 | Loss: 5.4671 | LR: 2.02e-04
Epoch 1/50 | Batch 830/847 | Loss: 5.4352 | LR: 2.04e-04
Epoch 1/50 | Batch 840/847 | Loss: 5.4036 | LR: 2.06e-04
New best model saved with loss: 5.3815
Epoch 2/50 | Batch 10/847 | Loss: 2.7099 | LR: 2.10e-04
Epoch 2/50 | Batch 20/847 | Loss: 2.6879 | LR: 2.13e-04
Epoch 2/50 | Batch 30/847 | Loss: 2.6686 | LR: 2.15e-04
Epoch 2/50 | Batch 40/847 | Loss: 2.6490 | LR: 2.17e-04
Epoch 2/50 | Batch 50/847 | Loss: 2.6320 | LR: 2.20e-04
Epoch 2/50 | Batch 60/847 | Loss: 2.6157 | LR: 2.22e-04
Epoch 2/50 | Batch 70/847 | Loss: 2.6015 | LR: 2.24e-04
Epoch 2/50 | Batch 80/847 | Loss: 2.5869 | LR: 2.27e-04
Epoch 2/50 | Batch 90/847 | Loss: 2.5712 | LR: 2.29e-04
Epoch 2/50 | Batch 100/847 | Loss: 2.5566 | LR: 2.31e-04
Epoch 2/50 | Batch 110/847 | Loss: 2.5427 | LR: 2.34e-04
Epoch 2/50 | Batch 120/847 | Loss: 2.5295 | LR: 2.36e-04
Epoch 2/50 | Batch 130/847 | Loss: 2.5173 | LR: 2.38e-04
Epoch 2/50 | Batch 140/847 | Loss: 2.5054 | LR: 2.41e-04
Epoch 2/50 | Batch 150/847 | Loss: 2.4939 | LR: 2.43e-04
Epoch 2/50 | Batch 160/847 | Loss: 2.4827 | LR: 2.45e-04
Epoch 2/50 | Batch 170/847 | Loss: 2.4719 | LR: 2.48e-04
Epoch 2/50 | Batch 180/847 | Loss: 2.4612 | LR: 2.50e-04
Epoch 2/50 | Batch 190/847 | Loss: 2.4511 | LR: 2.52e-04
